instruction,original,opcode,mnemonic,operand_count,has_vector_reg,has_memory,has_immediate,has_masking,register_width,memory_width,prefix_type
CMOVL m32,CMOVL r/m32,,CMOVL,1,0,1,0,0,0,32,NONE
CMOVL r64,CMOVL r/m64,,CMOVL,1,0,0,0,0,64,0,NONE
CMOVL m64,CMOVL r/m64,,CMOVL,1,0,1,0,0,0,64,NONE
CMOVL r16,CMOVL r16,,CMOVL,1,0,0,0,0,64,0,NONE
CMOVL r32,CMOVL r32,,CMOVL,1,0,0,0,0,64,0,NONE
CMOVL r64,CMOVL r64,,CMOVL,1,0,0,0,0,64,0,NONE
CMOVLE r16,CMOVLE r/m16,,CMOVLE,1,0,0,0,0,64,0,NONE
CMOVLE m16,CMOVLE r/m16,,CMOVLE,1,0,1,0,0,16,16,NONE
CMOVLE r32,CMOVLE r/m32,,CMOVLE,1,0,0,0,0,64,0,NONE
CMOVLE m32,CMOVLE r/m32,,CMOVLE,1,0,1,0,0,0,32,NONE
CMOVLE r64,CMOVLE r/m64,,CMOVLE,1,0,0,0,0,64,0,NONE
CMOVLE m64,CMOVLE r/m64,,CMOVLE,1,0,1,0,0,0,64,NONE
CMOVLE r16,CMOVLE r16,,CMOVLE,1,0,0,0,0,64,0,NONE
CMOVLE r32,CMOVLE r32,,CMOVLE,1,0,0,0,0,64,0,NONE
CMOVLE r64,CMOVLE r64,,CMOVLE,1,0,0,0,0,64,0,NONE
CMOVNA r16,CMOVNA r/m16,,CMOVNA,1,0,0,0,0,64,0,NONE
CMOVNA m16,CMOVNA r/m16,,CMOVNA,1,0,1,0,0,16,16,NONE
CMOVNA r32,CMOVNA r/m32,,CMOVNA,1,0,0,0,0,64,0,NONE
CMOVNA m32,CMOVNA r/m32,,CMOVNA,1,0,1,0,0,0,32,NONE
CMOVNA r64,CMOVNA r/m64,,CMOVNA,1,0,0,0,0,64,0,NONE
CMOVNA m64,CMOVNA r/m64,,CMOVNA,1,0,1,0,0,0,64,NONE
CMOVNA r16,CMOVNA r16,,CMOVNA,1,0,0,0,0,64,0,NONE
CMOVNA r32,CMOVNA r32,,CMOVNA,1,0,0,0,0,64,0,NONE
CMOVNA r64,CMOVNA r64,,CMOVNA,1,0,0,0,0,64,0,NONE
CMOVNAE r16,CMOVNAE r/m16,,CMOVNAE,1,0,0,0,0,64,0,NONE
CMOVNAE m16,CMOVNAE r/m16,,CMOVNAE,1,0,1,0,0,16,16,NONE
CMOVNAE r32,CMOVNAE r/m32,,CMOVNAE,1,0,0,0,0,64,0,NONE
CMOVNAE m32,CMOVNAE r/m32,,CMOVNAE,1,0,1,0,0,0,32,NONE
CMOVNAE r64,CMOVNAE r/m64,,CMOVNAE,1,0,0,0,0,64,0,NONE
CMOVNAE m64,CMOVNAE r/m64,,CMOVNAE,1,0,1,0,0,0,64,NONE
CMOVNAE r16,CMOVNAE r16,,CMOVNAE,1,0,0,0,0,64,0,NONE
CMOVNAE r32,CMOVNAE r32,,CMOVNAE,1,0,0,0,0,64,0,NONE
CMOVNAE r64,CMOVNAE r64,,CMOVNAE,1,0,0,0,0,64,0,NONE
CMOVNB r16,CMOVNB r/m16,,CMOVNB,1,0,0,0,0,64,0,NONE
CMOVNB m16,CMOVNB r/m16,,CMOVNB,1,0,1,0,0,16,16,NONE
CMOVNB r32,CMOVNB r/m32,,CMOVNB,1,0,0,0,0,64,0,NONE
CMOVNB m32,CMOVNB r/m32,,CMOVNB,1,0,1,0,0,0,32,NONE
CMOVNB r64,CMOVNB r/m64,,CMOVNB,1,0,0,0,0,64,0,NONE
CMOVNB m64,CMOVNB r/m64,,CMOVNB,1,0,1,0,0,0,64,NONE
CMOVNB r16,CMOVNB r16,,CMOVNB,1,0,0,0,0,64,0,NONE
CMOVNB r32,CMOVNB r32,,CMOVNB,1,0,0,0,0,64,0,NONE
CMOVNB r64,CMOVNB r64,,CMOVNB,1,0,0,0,0,64,0,NONE
CMOVNBE r16,CMOVNBE r/m16,,CMOVNBE,1,0,0,0,0,64,0,NONE
CMOVNBE m16,CMOVNBE r/m16,,CMOVNBE,1,0,1,0,0,16,16,NONE
CMOVNBE r32,CMOVNBE r/m32,,CMOVNBE,1,0,0,0,0,64,0,NONE
CMOVNBE m32,CMOVNBE r/m32,,CMOVNBE,1,0,1,0,0,0,32,NONE
CMOVNBE r64,CMOVNBE r/m64,,CMOVNBE,1,0,0,0,0,64,0,NONE
CMOVNBE m64,CMOVNBE r/m64,,CMOVNBE,1,0,1,0,0,0,64,NONE
CMOVNBE r16,CMOVNBE r16,,CMOVNBE,1,0,0,0,0,64,0,NONE
CMOVNBE r32,CMOVNBE r32,,CMOVNBE,1,0,0,0,0,64,0,NONE
CMOVNBE r64,CMOVNBE r64,,CMOVNBE,1,0,0,0,0,64,0,NONE
CMOVNC r16,CMOVNC r/m16,,CMOVNC,1,0,0,0,0,64,0,NONE
CMOVNC m16,CMOVNC r/m16,,CMOVNC,1,0,1,0,0,16,16,NONE
CMOVNC r32,CMOVNC r/m32,,CMOVNC,1,0,0,0,0,64,0,NONE
CMOVNC m32,CMOVNC r/m32,,CMOVNC,1,0,1,0,0,0,32,NONE
CMOVNC r64,CMOVNC r/m64,,CMOVNC,1,0,0,0,0,64,0,NONE
CMOVNC m64,CMOVNC r/m64,,CMOVNC,1,0,1,0,0,0,64,NONE
CMOVNC r16,CMOVNC r16,,CMOVNC,1,0,0,0,0,64,0,NONE
CMOVNC r32,CMOVNC r32,,CMOVNC,1,0,0,0,0,64,0,NONE
CMOVNC r64,CMOVNC r64,,CMOVNC,1,0,0,0,0,64,0,NONE
CMOVNE r16,CMOVNE r/m16,,CMOVNE,1,0,0,0,0,64,0,NONE
CMOVNE m16,CMOVNE r/m16,,CMOVNE,1,0,1,0,0,16,16,NONE
