Instruction Syntax
EVEX.128.66.0F38.W0 4E /rVRSQRT14PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 50 /rVPDPBUSD xmm1{k1}{z}
EVEX.128.66.0F38.W0 51 /rVPDPBUSDS xmm1{k1}{z}
EVEX.128.66.0F38.W0 52 /rVPDPWSSD xmm1{k1}{z}
EVEX.128.66.0F38.W0 53 /rVPDPWSSDS xmm1{k1}{z}
EVEX.128.66.0F38.W0 54 /rVPOPCNTB xmm1{k1}{z}
EVEX.128.66.0F38.W0 55 /rVPOPCNTD xmm1{k1}{z}
EVEX.128.66.0F38.W0 58 /rVPBROADCASTD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 59 /rVBROADCASTI32x2 xmm1 {k1}{z}
EVEX.128.66.0F38.W0 62 /rVPEXPANDB xmm1{k1}{z}
EVEX.128.66.0F38.W0 63 /rVPCOMPRESSB m128{k1}
EVEX.128.66.0F38.W0 63 /rVPCOMPRESSB xmm1{k1}{z}
EVEX.128.66.0F38.W0 64 /rVPBLENDMD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 65 /rVBLENDMPS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 66 /rVPBLENDMB xmm1 {k1}{z}
EVEX.128.66.0F38.W0 71 /rVPSHLDVD xmm1{k1}{z}
EVEX.128.66.0F38.W0 73 /rVPSHRDVD xmm1{k1}{z}
EVEX.128.66.0F38.W0 75 /rVPERMI2B xmm1 {k1}{z}
EVEX.128.66.0F38.W0 76 /rVPERMI2D xmm1 {k1}{z}
EVEX.128.66.0F38.W0 77 /rVPERMI2PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 78 /rVPBROADCASTB xmm1{k1}{z}
EVEX.128.66.0F38.W0 79 /rVPBROADCASTW xmm1{k1}{z}
EVEX.128.66.0F38.W0 7A /rVPBROADCASTB xmm1 {k1}{z}
EVEX.128.66.0F38.W0 7B /rVPBROADCASTW xmm1 {k1}{z}
EVEX.128.66.0F38.W0 7C /rVPBROADCASTD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 7D /rVPERMT2B xmm1 {k1}{z}
EVEX.128.66.0F38.W0 7E /rVPERMT2D xmm1 {k1}{z}
EVEX.128.66.0F38.W0 7F /rVPERMT2PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 88 /rVEXPANDPS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 89 /rVPEXPANDD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 8A /rVCOMPRESSPS xmm1/m128 {k1}{z}
EVEX.128.66.0F38.W0 8B /rVPCOMPRESSD xmm1/m128 {k1}{z}
EVEX.128.66.0F38.W0 8D /rVPERMB xmm1 {k1}{z}
EVEX.128.66.0F38.W0 8F /rVPSHUFBITQMB k1{k2}
EVEX.128.66.0F38.W0 90 /vsibVPGATHERDD xmm1 {k1}
EVEX.128.66.0F38.W0 91 /vsibVPGATHERQD xmm1 {k1}
EVEX.128.66.0F38.W0 92 /vsibVGATHERDPS xmm1 {k1}
EVEX.128.66.0F38.W0 93 /vsibVGATHERQPS xmm1 {k1}
EVEX.128.66.0F38.W0 96 /rVFMADDSUB132PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 97 /rVFMSUBADD132PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 98 /rVFMADD132PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 9A /rVFMSUB132PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 9C /rVFNMADD132PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 9E /rVFNMSUB132PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 A0 /vsibVPSCATTERDD vm32x {k1}
EVEX.128.66.0F38.W0 A1 /vsibVPSCATTERQD vm64x {k1}
EVEX.128.66.0F38.W0 A2 /vsibVSCATTERDPS vm32x {k1}
EVEX.128.66.0F38.W0 A3 /vsibVSCATTERQPS vm64x {k1}
EVEX.128.66.0F38.W0 A6 /rVFMADDSUB213PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 A7 /rVFMSUBADD213PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 A8 /rVFMADD213PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 AA /rVFMSUB213PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 AC /rVFNMADD213PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 AE /rVFNMSUB213PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 B6 /rVFMADDSUB231PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 B7 /rVFMSUBADD231PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 B8 /rVFMADD231PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 BA /rVFMSUB231PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 BC /rVFNMADD231PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 BE /rVFNMSUB231PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 C4 /rVPCONFLICTD xmm1 {k1}{z}
